Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL
57785,Launching Nokia 6.1 @ only INR 16499,Tata Cliq,Electronics,,,,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.tatacliq.com/nokia-6-1-32-gb-black-copper-3-gb-ram-dual-sim-4g/p-mp000000003014042,live,2018-05-18,2018-06-30,18/05/2018,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199
58072,Get 6% discount on Samsung M/W Con 28L MC28H5033CK/TL,Croma Retail,Electronics,,,3MAY5APL6P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=Samsung+M%2FW+Con+28L+MC28H5033CK%2FTL,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58073,Get 5% discount on A.O.Smith Geyser 15L/Hor/HAS-15,Croma Retail,Electronics,,,3MAY5APS5P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=A.O.Smith+Geyser+15L%2FHor%2FHAS-15,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58074,Get 5% discount on RACOLD Geyser 10L ANDRIS LUX PLUS,Croma Retail,Electronics,,,3MAY5APS5P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=RACOLD+Geyser+10L+ANDRIS+LUX+PLUS,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58075,Get 5% discount on RACOLD Geyser 15L ANDRIS LUXPLUS,Croma Retail,Electronics,,,3MAY5APS5P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=RACOLD+Geyser+10L+ANDRIS+LUX+PLUS,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58076,Get 5% discount on RACOLD Geyser 25L ANDRIS LUXPLUS,Croma Retail,Electronics,,,3MAY5APS5P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=RACOLD+Geyser+10L+ANDRIS+LUX+PLUS,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58077,Get 5% discount on A.O.Smith Geyser 25L/Hor/HAS-25,Croma Retail,Electronics,,,3MAY5APS5P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=A.O.Smith+Geyser+25L%2FHor%2FHAS-25,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58078,Get 8% discount on A.O.Smith Geyser 3Ltr/4.5KW,Croma Retail,Electronics,,,3MAY5APS8P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=A.O.Smith+Geyser+3Ltr%2F4.5KW,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58079,Get 2% discount on PHILIPS Hair Dryer BHD007,Croma Retail,Electronics,,,3MAY5APS2P,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=PHILIPS+Hair+Dryer+BHD007,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
58080,Get Rs.900 discount on Preethi JMG Zodiac 750W,Croma Retail,Electronics,,,3MAY5A18PS9H,https://linksredirect.com/?pub_id=29755CL26816&url=https://www.croma.com/search/?text=Preethi+JMG+Zodiac+750W,live,2018-06-04,2018-06-06,04/06/2018,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022
